Details of Training:-----------------------
dataset: PhonemeSpectra
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_fedproto_dir0.3
PID: 856949
PPID: 856933
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedprotodataset: CharacterTrajectoriesdescription: har_fedproto_dir0.3federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falsefedproto:  lamda: 1.0logPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.9    wd: 0
dataset: PhonemeSpectraround:116 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:117 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:118 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:119 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:120 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:121 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:122 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:123 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:124 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:125 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:126 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:127 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:128 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:129 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:130 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:131 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:132 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:133 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:134 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:135 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:136 server aggregation  testACC:0.23292573814494483 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:137 server aggregation  testACC:0.23352221890844022 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:138 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:139 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:140 server aggregation  testACC:0.23292573814494483 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:141 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:142 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:143 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:144 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:145 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:146 server aggregation  testACC:0.23411869967193558 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:147 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:148 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:149 server aggregation  testACC:0.23411869967193558 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:150 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
